Unique ID,Agency Name,Bureau Name,Program Name,Category,Subcategory,Project Name,City,County,State,Funding Amount Excluding Loans,Funding Source,Program Type,Project on Map,Historic ID,GEO_ID,Total_Population,One_Race,White_Alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Population_of_two_or_more_races,Median_household_income
37519,Environmental Protection Agency,Office of Air and Radiation,Funding to Address Air Pollution: Clean Air Act Grants,Environmental Remediation,Environmental Remediation,Wampanoag Tribe of Gay Head (Aquinnah),aquinnah,Dukes,Massachusetts,29956.0,IRA,Formula,Y,IRA-596,0600000US2500701585,439,396,280,8,102,4,0,2,43,98182
40740,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Mystic River Watershed Association,arlington,Middlesex,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4894,0600000US2501701605,46308,42782,35293,1087,59,5659,8,676,3526,114576
27035,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,arlington,Middlesex,Massachusetts,76470.0,BIL,Both,N,A-7076,0600000US2501701605,46308,42782,35293,1087,59,5659,8,676,3526,114576
48939,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,arlington,Middlesex,Massachusetts,200000.0,BIL,Discretionary,Y,,0600000US2501701605,46308,42782,35293,1087,59,5659,8,676,3526,114576
47222,Department of Agriculture,Forest Service,Forest Legacy Program,Parks and Conservation,Parks and Conservation,Jones Hill Connection,ashby,Middlesex,Massachusetts,445000.0,IRA,Discretionary,Y,,0600000US2501701955,3193,3024,2953,18,9,16,1,27,169,97269
18805,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Attleboro,attleboro,Bristol,Massachusetts,80000.0,BIL,Formula,Y,P-20761,0600000US2500502690,46461,43016,35842,2704,160,2196,14,2100,3445,77107
27036,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,attleboro,Bristol,Massachusetts,76560.0,BIL,Both,N,A-7077,0600000US2500502690,46461,43016,35842,2704,160,2196,14,2100,3445,77107
18790,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Barnstable,barnstable,Barnstable,Massachusetts,292928.0,BIL,Formula,Y,P-20746,0600000US2500103690,48916,43481,37777,2235,260,860,30,2319,5435,77227
27032,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,barnstable,Barnstable,Massachusetts,81070.0,BIL,Both,N,A-7073,0600000US2500103690,48916,43481,37777,2235,260,860,30,2319,5435,77227
27037,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,barnstable,Barnstable,Massachusetts,76690.0,BIL,Both,N,A-7078,0600000US2500103690,48916,43481,37777,2235,260,860,30,2319,5435,77227
7983,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Cape Cod Regional Safety Action Plan,barnstable,Barnstable,Massachusetts,240000.0,BIL,Discretionary,Y,P-8200,0600000US2500103690,48916,43481,37777,2235,260,860,30,2319,5435,77227
8878,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Planning a Smart Microgrid that Generates and Distributes Reliable Power at Cape Cod Gateway Airport to Reduce Emissions and Increase Energy Independence While Supporting the Disadvantaged Community,barnstable,Barnstable,Massachusetts,1950000.0,BIL,Discretionary,N,P-9131,0600000US2500103690,48916,43481,37777,2235,260,860,30,2319,5435,77227
3973,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"Barre Falls Dam, MA",barre,Worcester,Massachusetts,756000.0,BIL,Discretionary,Y,P-3975,0600000US2502703740,5530,5250,5034,61,11,43,4,97,280,81109
20146,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Laurence G Hanscom Field - BED,bedford,Middlesex,Massachusetts,1008525.0,BIL,Both,Y,P-22258,0600000US2501704615,14383,13503,10696,375,25,2242,0,165,880,133824
1667,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Laurence G Hanscom Field - BED,bedford,Middlesex,Massachusetts,1006637.0,BIL,Both,Y,P-1667,0600000US2501704615,14383,13503,10696,375,25,2242,0,165,880,133824
10245,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Laurence G Hanscom Field - BED,bedford,Middlesex,Massachusetts,1006557.0,BIL,Both,Y,P-10498,0600000US2501704615,14383,13503,10696,375,25,2242,0,165,880,133824
44978,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Bellingham,bellingham,Norfolk,Massachusetts,131000.0,BIL,Formula,Y,,0600000US2502104930,16945,15907,14671,315,39,509,6,367,1038,103258
4205,Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Lester G. Ross Dam,berlin,Worcester,Massachusetts,3300000.0,BIL,Discretionary,Y,P-4208,0600000US2502705490,3158,2932,2822,18,4,38,3,47,226,104432
241,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Beverly Regional - BVY,beverly,Essex,Massachusetts,295000.0,BIL,Both,Y,P-241,0600000US2500905595,42670,39910,36705,990,60,951,12,1192,2760,84354
20147,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Beverly Regional - BVY,beverly,Essex,Massachusetts,294000.0,BIL,Both,Y,P-22259,0600000US2500905595,42670,39910,36705,990,60,951,12,1192,2760,84354
10246,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Beverly Regional - BVY,beverly,Essex,Massachusetts,292000.0,BIL,Both,Y,P-10499,0600000US2500905595,42670,39910,36705,990,60,951,12,1192,2760,84354
27038,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,beverly,Essex,Massachusetts,76510.0,BIL,Both,N,A-7079,0600000US2500905595,42670,39910,36705,990,60,951,12,1192,2760,84354
48940,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,beverly,Essex,Massachusetts,1455000.0,BIL,Discretionary,Y,,0600000US2500905595,42670,39910,36705,990,60,951,12,1192,2760,84354
43239,Department of Energy,Energy Efficiency and Renewable Energy,"Clean Hydrogen Manufacturing Recycling Research, Development, and Demonstration Program","Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,"Clean Hydrogen Manufacturing Recycling Research, Development, and Demonstration Program - Nuvera Fuel Cells, LLC",billerica,Middlesex,Massachusetts,30000000.0,BIL,Discretionary,Y,P-24494,0600000US2501705805,42119,40042,33764,1676,74,3608,5,915,2077,113239
43241,Department of Energy,Energy Efficiency and Renewable Energy,"Clean Hydrogen Manufacturing Recycling Research, Development, and Demonstration Program","Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,"Clean Hydrogen Manufacturing Recycling Research, Development, and Demonstration Program - Cabot Corporation",billerica,Middlesex,Massachusetts,5000000.0,BIL,Discretionary,Y,P-24496,0600000US2501705805,42119,40042,33764,1676,74,3608,5,915,2077,113239
12078,Department of the Interior,Fish and Wildlife Service,Ecosystem - Fish Passage,Resilience,Resilience,"Talbot Mills Dam Removal, Concord River",billerica,Middlesex,Massachusetts,800000.0,BIL,Discretionary,Y,P-12596,0600000US2501705805,42119,40042,33764,1676,74,3608,5,915,2077,113239
27039,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,billerica,Middlesex,Massachusetts,76490.0,BIL,Both,N,A-7080,0600000US2501705805,42119,40042,33764,1676,74,3608,5,915,2077,113239
15044,Federal Communications Commission,Federal Communications Commission,Affordable Connectivity Program - Outreach Grants,Broadband,Broadband,National Competitive Outreach Program Round 1: City of Boston,boston,Suffolk,Massachusetts,250000.0,BIL,Discretionary,Y,P-16024,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
242,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - General Edward Lawrence Logan International - BOS,boston,Suffolk,Massachusetts,37648526.0,BIL,Both,Y,P-242,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
10247,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - General Edward Lawrence Logan International - BOS,boston,Suffolk,Massachusetts,37484404.0,BIL,Both,Y,P-10500,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
20148,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - General Edward Lawrence Logan International - BOS,boston,Suffolk,Massachusetts,36087065.0,BIL,Both,Y,P-22260,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
4449,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,Airport Terminal Program - General Edward Lawrence Logan International Airport,boston,Suffolk,Massachusetts,62000000.0,BIL,Discretionary,Y,P-4452,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
8436,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,General Edward Lawrence Logan International Airport,boston,Suffolk,Massachusetts,22500000.0,BIL,Discretionary,Y,P-8655,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
22064,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,Airport Terminal Program - FY24 - General Edward Lawrence Logan International Airport - BOS,boston,Suffolk,Massachusetts,12000000.0,BIL,Discretionary,Y,P-24176,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
7507,Department of Transportation,Federal Transit Administration,All Stations Accessibility Program,Transportation,Public Transportation,Massachusetts Bay Transportation Authority Station Upgrades,boston,Suffolk,Massachusetts,66602931.0,BIL,Discretionary,N,P-7724,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
,Department of Transportation,Federal Highway Administration,Charging and Fueling Infrastructure Grants (Community Charging),Transportation,"Electric Vehicles, Buses, and Ferries",RECHARGE BOSTON: MAKING EV CHARGING PUBLICLY AVAILABLE IN EVERY NEIGHBORHOOD,boston,Suffolk,Massachusetts,15000000.0,BIL,Discretionary,,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
43211,Department of Energy,Energy Efficiency and Renewable Energy,Clean Hydrogen Electrolysis Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Clean Hydrogen Electrolysis Program - Boston University,boston,Suffolk,Massachusetts,5000000.0,BIL,Discretionary,Y,P-24466,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
16150,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries","Install 50 Dc Fast Chargers And Supporting Infrastructure, Including A New Transformer, And Deploy 50 Class 7 Electric School Buses To Replace 50 Class 7 Diesel School Buses.",boston,Suffolk,Massachusetts,20063024.0,BIL,Discretionary,Y,P-17146,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
,Department of Commerce,National Oceanic and Atmospheric Administration,Climate-Ready Workforce initiative,Resiliency,Resiliency,Greater Boston Coastal Resilience Jobs Alliance,boston,Suffolk,Massachusetts,9799687.0,BIL,Both,,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
13390,Department of Energy,Energy Efficiency and Renewable Energy,Cost-effective Codes Implementation for Efficiency and Resilience,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Massachusetts Department of Energy Resources,boston,Suffolk,Massachusetts,3900000.0,BIL,Discretionary,Y,P-13993,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
27040,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,boston,Suffolk,Massachusetts,659990.0,BIL,Both,N,A-7081,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
40738,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Health Resources in Action,boston,Suffolk,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4892,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
40743,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Massachusetts Coalition for Occupational Safety and Health,boston,Suffolk,Massachusetts,150000.0,IRA,Discretionary,Y,IRA-4897,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
40836,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: The Environmental Justice Government-to-Government (EJG2G) Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: The Environmental Justice Government-to-Government (EJG2G) Program - City of Boston,boston,Suffolk,Massachusetts,1000000.0,IRA,Discretionary,Y,IRA-4992,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
42005,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Accelerating Climate & Ocean Resilience with Bluetech Innovation,boston,Suffolk,Massachusetts,249299.0,IRA,Discretionary,Y,IRA-6188,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
4837,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Roxbury Resilient Transportation Corridors,boston,Suffolk,Massachusetts,20000000.0,BIL,Discretionary,Y,P-4841,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
50641,Department of Transportation,Federal Transit Administration,Low or No Emission (Bus) Grants,Transportation,Public Transportation,MBTA Battery-Electric Bus Transition Phase 1B,boston,Suffolk,Massachusetts,40000000.0,BIL,Discretionary,Y,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
43406,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,I-90 Allston Multimodal Project,boston,Suffolk,Massachusetts,335374775.0,IRA,Discretionary,N,IRA-7189,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
43405,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,Greening Chelsea Creek Waterfront,boston,Suffolk,Massachusetts,2500000.0,IRA,Discretionary,Y,IRA-7188,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
8375,Department of Transportation,Federal Highway Administration,Reconnecting Communities Pilot Program,Transportation,"Roads, Bridges, and Major Projects",Reconnecting Chinatown,boston,Suffolk,Massachusetts,1800000.0,BIL,Discretionary,Y,P-8594,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
16302,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,IMPLEMENTING BOSTON’S NEW TRAFFIC SIGNAL OPERATIONS DESIGN POLICY,boston,Suffolk,Massachusetts,14400000.0,BIL,Discretionary,Y,P-17398,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
7986,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Safety at Key Intersections in Boston,boston,Suffolk,Massachusetts,9000000.0,BIL,Discretionary,Y,P-8203,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,City of Boston Supplemental Planning and Demonstration Activities,boston,Suffolk,Massachusetts,2832532.0,BIL,Discretionary,,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
14467,Environmental Protection Agency,State and Tribal Assistance Grants,Solid Waste Infrastructure for Recycling Infrastructure Grants,Environmental Remediation,Environmental Remediation,Solid Waste Infrastructure for Recycling Infrastructure Grants - Massachusetts Department of Environmental Protection,boston,Suffolk,Massachusetts,411526.0,BIL,Discretionary,Y,P-15181,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
42986,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Digitizing Boston’s Curbs Via Machine Learning,boston,Suffolk,Massachusetts,1983872.0,BIL,Discretionary,Y,P-24399,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
38364,Department of Agriculture,Forest Service,Urban and Community Forestry Assistance Program,Parks and Conservation,Parks and Conservation,"Healthy Places Boston: Growing an Accessible, Inclusive and Resilient Urban Forest",boston,Suffolk,Massachusetts,11406762.0,IRA,Both,Y,IRA-2512,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
49671,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,"John W. McCormack parking garage structural, slab, and paving repairs",boston,Suffolk,Massachusetts,13200000.0,IRA,Discretionary,Y,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
49670,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,JFK Federal Building Plaza replacement and waterproofing,boston,Suffolk,Massachusetts,9100000.0,IRA,Discretionary,Y,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
49672,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,OMS garage pavement repair,boston,Suffolk,Massachusetts,1900000.0,IRA,Discretionary,Y,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
47478,Department of Agriculture,Forest Service,Wood Innovations Grant Program,Other,Other,495 Dot Ave Senior Housing,boston,Suffolk,Massachusetts,300000.0,IRA,Discretionary,Y,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
7052,Department of Transportation,Federal Transit Administration,Pilot Program for Transit Oriented Development,Transportation,Public Transportation,Massachusetts Bay Transportation Authority,boston,Suffolk,Massachusetts,576000.0,BIL,Discretionary,N,P-7259,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
6736,Environmental Protection Agency,State and Tribal Assistance Grants,Pollution Prevention Grants,Environmental Remediation,Environmental Remediation,"University of Massachusetts, Boston ",boston,Suffolk,Massachusetts,350000.0,BIL,Discretionary,N,P-6916,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
4727,Department of Transportation,Federal Highway Administration,Construction of Ferry Boats and Ferry Terminal Facilities,Transportation,Ports and Waterways,Ferry Boat Program - Boston Harbor Cruises LLC (as MBTA's public ferry transportation provider),boston,Suffolk,Massachusetts,1188464.0,BIL,Formula,Y,P-4731,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
16960,Department of Commerce,National Oceanic and Atmospheric Administration,National Coastal Resilience Fund,Resilience,Resilience,Designing Resilient Marsh Restoration in the Neponset River Estuary,boston,Suffolk,Massachusetts,389700.0,BIL,Discretionary,Y,P-18056,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
38169,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Developing a coupled benthic-pelagic biogeochemical model to evaluate the effectiveness of mCDR interventions,boston,Suffolk,Massachusetts,1258967.0,IRA,Discretionary,N,IRA-2316,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
6020,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Upper Cape Cod Regional Vocational Technical,bourne,Barnstable,Massachusetts,395000.0,BIL,Discretionary,Y,P-6182,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
44566,Department of Commerce,National Oceanic and Atmospheric Administration,Coastal Zone Management,Resilience,Resilience,Puritan Bog Coastal Wetland Restoration Project,bourne,Barnstable,Massachusetts,338134.0,BIL,Discretionary,Y,,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
45924,Department of Commerce,National Oceanic and Atmospheric Administration,Fish Passage,Other,Other,Fish Passage - Buzzards Bay Coalition,bourne,Barnstable,Massachusetts,3700000.0,BIL,Discretionary,N,,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
3976,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"Cape Cod Canal, MA",bourne,Barnstable,Massachusetts,5175000.0,BIL,Discretionary,Y,P-3978,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
14751,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Major Rehabilitation for Rivers and Harbors,Transportation,Ports and Waterways,"CAPE COD CANAL, MA",bourne,Barnstable,Massachusetts,2000000.0,BIL,Discretionary,Y,P-15492,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
3437,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Cape Cod Canal, MA",bourne,Barnstable,Massachusetts,2665000.0,BIL,Discretionary,Y,P-3437,0600000US2500107175,20452,19421,18399,312,107,309,9,285,1031,76823
14729,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Resilience,Resilience,"SMELT BROOK, BRAINTREE, MA",braintree,Norfolk,Massachusetts,200000.0,BIL,Discretionary,Y,P-15470,0600000US2502107740,39143,36779,27698,1330,69,6750,9,923,2364,101544
